Generation,Best_Fitness,Average_Fitness
1,-7.8500000000000005,-24.49085256063994
2,-7.71,-14.900580166265318
3,-7.71,-10.61456497922454
4,-7.59,-8.647789974874213
5,-4.49,-8.1068
6,-4.47,-7.6108
7,-4.45,-7.3764
8,-4.43,-7.0208
9,-4.39,-6.3792
10,-4.39,-5.207999999999999
11,-0.61,-4.3688
12,-0.01,-4.1632
13,-0.01,-3.8628000000000005
14,-0.01,-3.3232
15,-0.01,-2.2658258639865
16,-0.01,-0.4789756008213154
17,-0.01,-0.09834624418670244
18,-0.01,-0.024399999999999998
19,-0.01,-0.0192
20,-0.01,-0.016
21,-0.01,-0.012
22,-0.01,-0.01
23,-0.01,-0.01
24,-0.01,-0.01
25,-0.01,-0.01
26,-0.01,-0.01
27,-0.01,-0.01
28,-0.01,-0.01
29,-0.01,-0.01
30,-0.01,-0.01
31,-0.01,-0.01
32,-0.01,-0.01
33,-0.01,-0.01
34,-0.01,-0.01
35,-0.01,-0.01
36,-0.01,-0.01
37,-0.01,-0.01
38,-0.01,-0.01
39,-0.01,-0.01
40,-0.01,-0.01
